epoch,total_loss,recon_loss,kl_loss,pen_acc,beta
1,8.785723,8.728000,0.288613,0.738996,0.200
2,13.184196,13.111934,0.180655,0.735898,0.400
3,4.335988,4.320104,0.026474,0.851432,0.600
4,2.409247,2.389025,0.025278,0.913543,0.800
5,3.180443,3.159285,0.021158,0.926190,1.000
6,1.423987,1.404660,0.019326,0.932454,1.000
7,1.135414,1.117744,0.017670,0.936685,1.000
8,1.859124,1.843014,0.016110,0.941862,1.000
9,2.369421,2.354560,0.014861,0.942954,1.000
10,3.880910,3.866203,0.014707,0.944881,1.000
11,0.644071,0.629594,0.014477,0.945477,1.000
12,1.658794,1.644668,0.014126,0.946281,1.000
13,0.951382,0.937921,0.013461,0.946647,1.000
14,0.310821,0.297912,0.012909,0.946925,1.000
15,0.092136,0.079395,0.012741,0.947742,1.000
16,0.963613,0.950833,0.012780,0.948062,1.000
17,0.174272,0.161619,0.012653,0.948478,1.000
18,-0.338109,-0.350754,0.012645,0.948900,1.000
19,-0.883842,-0.896773,0.012931,0.949178,1.000
20,-0.928940,-0.942265,0.013325,0.949437,1.000
